,,,,,,
年份 ,国内旅游收入Y（亿元） ,国内旅游人数X2（万人次） ,城镇居民人均旅游花费X3（元） ,农村居民人均旅游花费X4 （元） ,公路里程 X5（万km） ,铁路里程X6（万km） 
1994,1023.5,52400,414.7,54.9,111.78,5.9
1995,1375.7,62900,464,61.5,115.7,5.97
1996,1638.4,63900,534.1,70.5,118.58,6.49
1997,2112.7,64400,599.8,145.7,122.64,6.6
1998,2391.2,69450,607,197,127.85,6.64
1999,2831.9,71900,614.8,249.5,135.17,6.74
2000,3175.5,74400,678.6,226.6,140.27,6.87
2001,3522.4,78400,708.3,212.7,169.8,7.01
2002,3878.4,87800,739.7,209.1,176.52,7.19
2003,3442.3,87000,684.9,200,180.98,7.3
2004,4710.7,110200,731.8,210.2,187.07,7.44
2005,5285.9,121200,737.1,227.6,193.05,7.54
2006,6229.74,139400,766.4,221.9,345.7,7.71
2007,7770.62,161000,906.9,222.5,358.37,7.8
